Provinsi,Kabupaten/Kota,Tingkat Pengangguran Terbuka,Tingkat Partisipasi Angkatan Kerja,TPT Provinsi,TPAK Provinsi
Sulawesi Utara,Minahasa Tenggara,2.84,67.97,6.03,65.3
Sulawesi Tengah,Banggai Kepulauan,1.56,72.76,3.02,70.51
Sulawesi Tengah,Sulawesi Tengah,2.95,69.85,3.02,70.51
Sulawesi Tengah,Kota Palu,5.65,69.28,3.02,70.51
Sulawesi Tengah,Banggai Laut,3.64,59.17,3.02,70.51
Sulawesi Tengah,Sigi,2.6,70.94,3.02,70.51
Sulawesi Tengah,Tojo Una-Una,2.83,75.06,3.02,70.51
Sulawesi Tengah,Parigi Moutong,2.11,73.3,3.02,70.51
Sulawesi Tengah,Buol,3.14,69.43,3.02,70.51
Sulawesi Tengah,Toli-Toli,3.12,68.8,3.02,70.51
Sulawesi Tengah,Poso,1.67,71.07,3.02,70.51
Sulawesi Tengah,Morowali,2.84,58.52,3.02,70.51
Sulawesi Tengah,Banggai,3.12,71.7,3.02,70.51
Sulawesi Tengah,Morowali Utara,2.23,70.33,3.02,70.51
Sulawesi Tengah,Donggala,2.79,66.57,3.02,70.51
Sulawesi Selatan,Soppeng,4.34,59.44,4.96,65.99
Sulawesi Selatan,Pangkajene Dan Kepulauan,5.05,69.98,4.96,65.99
Sulawesi Selatan,Luwu Timur,5.42,69.25,4.96,65.99
Sulawesi Selatan,Toraja Utara,2.6,77.5,4.96,65.99
Sulawesi Selatan,Kota Makassar,10.6,58.72,4.96,65.99
Sulawesi Selatan,Kota Parepare,5.86,65.52,4.96,65.99
Sulawesi Selatan,Kota Palopo,7.81,65.75,4.96,65.99
Sulawesi Selatan,Sulawesi Selatan,4.33,65.66,4.96,65.99
Sulawesi Selatan,Luwu,3.7,68.61,4.96,65.99
Sulawesi Selatan,Enrekang,1.53,68.09,4.96,65.99
Sulawesi Selatan,Pinrang,3.64,60.51,4.96,65.99
Sulawesi Selatan,Sidenreng Rappang,3.29,55.49,4.96,65.99
Sulawesi Selatan,Luwu Utara,2.63,66.98,4.96,65.99
Sulawesi Selatan,Wajo,2.1,65.78,4.96,65.99
Sulawesi Selatan,Barru,5.89,62.26,4.96,65.99
Sulawesi Selatan,Maros,3.64,61.45,4.96,65.99
Sulawesi Selatan,Sinjai,1.69,67.16,4.96,65.99
Sulawesi Selatan,Gowa,3.43,69.63,4.96,65.99
Sulawesi Selatan,Takalar,3.58,65.86,4.96,65.99
Sulawesi Selatan,Jeneponto,2.13,66.44,4.96,65.99
Sulawesi Selatan,Bantaeng,3.71,75.58,4.96,65.99
Sulawesi Selatan,Bulukumba,1.31,70.78,4.96,65.99
Sulawesi Selatan,Kepulauan Selayar,1.98,71.88,4.96,65.99
Sulawesi Selatan,Bone,2.88,62.69,4.96,65.99
Sulawesi Selatan,Tana Toraja,3.37,82.35,4.96,65.99
Sulawesi Tenggara,Buton Utara,1.93,80.95,3.27,69.77
Sulawesi Tenggara,Konawe Utara,2.76,70.75,3.27,69.77
Sulawesi Tenggara,Muna,3.27,70.77,3.27,69.77
Sulawesi Tenggara,Buton,2.48,68.49,3.27,69.77
Sulawesi Tenggara,Konawe Kepulauan,1.59,74.93,3.27,69.77
Sulawesi Tenggara,Muna Barat,2.22,76.38,3.27,69.77
Sulawesi Tenggara,Buton Tengah,2.5,67.65,3.27,69.77
Sulawesi Tenggara,Kota Kendari,5.18,66.87,3.27,69.77
Sulawesi Tenggara,Kota Baubau,4.17,70.52,3.27,69.77
Sulawesi Tenggara,Sulawesi Tenggara,3.15,70.07,3.27,69.77
Sulawesi Tenggara,Buton Selatan,4.33,72.56,3.27,69.77
Sulawesi Tenggara,Wakatobi,2.73,73.08,3.27,69.77
Sulawesi Tenggara,Bombana,1.16,67.75,3.27,69.77
Sulawesi Tenggara,Konawe Selatan,3.12,69.93,3.27,69.77
Sulawesi Tenggara,Kolaka,3.36,65.22,3.27,69.77
Sulawesi Tenggara,Konawe,3.09,67.93,3.27,69.77
Sulawesi Tenggara,Kolaka Utara,2.24,73.93,3.27,69.77
Sulawesi Tenggara,Kolaka Timur,2.18,77.08,3.27,69.77
Gorontalo,Gorontalo,3.06,70.79,3.12,67.52
Gorontalo,Boalemo,2.86,72.3,3.12,67.52
Gorontalo,Kota Gorontalo,4.06,65.68,3.12,67.52
Gorontalo,Gorontalo Utara,2.77,71.13,3.12,67.52
Gorontalo,Bone Bolango,3.39,68.39,3.12,67.52
Gorontalo,Pohuwato,3.46,72.96,3.12,67.52
Gorontalo,Gorontalo,2.48,72.89,3.12,67.52
Sulawesi Barat,Mamasa,2.35,78.45,3.17,71.81
Sulawesi Barat,Majene,2.64,64.03,3.17,71.81
Sulawesi Barat,Polewali Mandar,1.95,73.4,3.17,71.81
Sulawesi Barat,Mamuju,2.99,68.24,3.17,71.81
Sulawesi Barat,Pasangkayu,2.02,72.45,3.17,71.81
Sulawesi Barat,Mamuju Tengah,1.83,66.01,3.17,71.81
Sulawesi Barat,Sulawesi Barat,2.27,71.05,3.17,71.81
Maluku,Maluku Tenggara,5.73,61.37,5.95,67.56
Maluku,Maluku Tengah,6.75,63.26,5.95,67.56
Maluku,Buru,4.86,73.72,5.95,67.56
Maluku,Seram Bagian Barat,4.74,62.72,5.95,67.56
Maluku,Seram Bagian Timur,3.31,56.71,5.95,67.56
Maluku,Maluku Barat Daya,2.43,67.99,5.95,67.56
Maluku,Buru Selatan,0.97,68.72,5.95,67.56
Maluku,Kota Ambon,11.65,65.8,5.95,67.56
Maluku,Kepulauan Tanimbar,4.31,62.0,5.95,67.56
Maluku,Kota Tual,8.98,55.48,5.95,67.56
Maluku,Kepulauan Aru,1.96,59.62,5.95,67.56
Maluku,Maluku,6.31,63.6,5.95,67.56
Maluku Utara,Halmahera Tengah,3.95,70.77,4.26,68.99
Maluku Utara,Maluku Utara,4.31,67.77,4.26,68.99
Maluku Utara,Pulau Taliabu,3.15,63.11,4.26,68.99
Maluku Utara,Pulau Morotai,4.56,64.72,4.26,68.99
Maluku Utara,Halmahera Timur,4.66,70.55,4.26,68.99
Maluku Utara,Halmahera Utara,6.53,69.86,4.26,68.99
Maluku Utara,Halmahera Selatan,2.44,73.24,4.26,68.99
Maluku Utara,Kepulauan Sula,2.67,62.38,4.26,68.99
Maluku Utara,Kota Ternate,6.62,61.2,4.26,68.99
Maluku Utara,Halmahera Barat,3.77,68.09,4.26,68.99
Maluku Utara,Kota Tidore Kepulauan,3.52,68.72,4.26,68.99
Papua Barat,Papua Barat,5.38,67.24,4.21,71.45
Papua Barat,Pegunungan Arfak,,94.49,4.21,71.45
Papua Barat,Manokwari Selatan,,80.47,4.21,71.45
Papua Barat,Manokwari,5.97,68.19,4.21,71.45
Papua Barat,Teluk Bintuni,3.52,69.33,4.21,71.45
Papua Barat,Teluk Wondama,2.77,69.13,4.21,71.45
Papua Barat,Kaimana,3.24,64.64,4.21,71.45
Papua Barat,Fakfak,6.52,64.82,4.21,71.45
Papua,Supiori,4.81,57.48,4.73,74.78
Papua,Mamberamo Raya,,42.81,4.73,74.78
Papua,Waropen,4.62,66.53,4.73,74.78
Papua,Keerom,1.5,76.79,4.73,74.78
Papua,Sarmi,3.09,65.73,4.73,74.78
Papua,Biak Numfor,5.72,65.97,4.73,74.78
Papua,Kepulauan Yapen,4.01,61.05,4.73,74.78
Papua,Jayapura,4.07,67.69,4.73,74.78
Papua,Kota Jayapura,10.76,67.37,4.73,74.78
Papua,Papua,2.67,77.2,4.73,74.78
