Provinsi,Kabupaten/Kota,Tingkat Pengangguran Terbuka,Tingkat Partisipasi Angkatan Kerja,TPT Provinsi,TPAK Provinsi
Jambi,Tebo,1.71,70.13,4.48,67.11
Jambi,Bungo,5.23,70.3,4.48,67.11
Jambi,Kota Jambi,8.27,64.85,4.48,67.11
Jambi,Kota Sungai Penuh,3.8,68.24,4.48,67.11
Sumatera Selatan,Kota Lubuklinggau,5.64,70.88,3.89,70.56
Sumatera Selatan,Kota Pagar Alam,2.71,73.9,3.89,70.56
Sumatera Selatan,Kota Prabumulih,5.05,68.6,3.89,70.56
Sumatera Selatan,Kota Palembang,7.49,67.51,3.89,70.56
Sumatera Selatan,Musi Rawas Utara,5.11,70.12,3.89,70.56
Sumatera Selatan,Musi Rawas,1.95,68.36,3.89,70.56
Sumatera Selatan,Penukal Abab Lematang Ilir,3.99,79.39,3.89,70.56
Sumatera Selatan,Ogan Komering Ilir,3.23,69.34,3.89,70.56
Sumatera Selatan,Ogan Komering Ulu,4.13,72.67,3.89,70.56
Sumatera Selatan,Empat Lawang,3.09,72.41,3.89,70.56
Sumatera Selatan,Muara Enim,3.92,72.99,3.89,70.56
Sumatera Selatan,Ogan Komering Ulu Timur,3.96,76.53,3.89,70.56
Sumatera Selatan,Ogan Komering Ulu Selatan,1.81,75.56,3.89,70.56
Sumatera Selatan,Banyu Asin,3.35,62.68,3.89,70.56
Sumatera Selatan,Musi Banyuasin,2.58,72.63,3.89,70.56
Sumatera Selatan,Lahat,3.41,74.79,3.89,70.56
Sumatera Selatan,Ogan Ilir,2.1,73.38,3.89,70.56
Sumatera Selatan,Sumatera Selatan,4.11,70.72,3.89,70.56
Bengkulu,Mukomuko,3.14,67.16,3.24,71.15
Bengkulu,Kota Bengkulu,5.04,66.61,3.24,71.15
Bengkulu,Bengkulu Tengah,3.2,64.96,3.24,71.15
Bengkulu,Bengkulu Selatan,3.56,75.95,3.24,71.15
Bengkulu,Rejang Lebong,2.94,77.86,3.24,71.15
Bengkulu,Bengkulu Utara,3.33,68.6,3.24,71.15
Bengkulu,Kaur,3.81,68.44,3.24,71.15
Bengkulu,Seluma,2.68,73.44,3.24,71.15
Bengkulu,Bengkulu,3.42,70.91,3.24,71.15
Bengkulu,Lebong,2.72,70.23,3.24,71.15
Bengkulu,Kepahiang,2.41,75.73,3.24,71.15
Lampung,Lampung Barat,2.25,82.01,4.07,71.16
Lampung,Tanggamus,3.35,70.6,4.07,71.16
Lampung,Lampung,4.23,70.04,4.07,71.16
Lampung,Lampung Tengah,3.25,73.32,4.07,71.16
Lampung,Kota Metro,3.6,68.92,4.07,71.16
Lampung,Kota Bandar Lampung,7.43,66.05,4.07,71.16
Lampung,Pesisir Barat,3.47,71.91,4.07,71.16
Lampung,Lampung Timur,3.09,68.74,4.07,71.16
Lampung,Tulang Bawang Barat,3.89,70.77,4.07,71.16
Lampung,Lampung Selatan,4.95,66.43,4.07,71.16
Lampung,Pringsewu,4.66,73.29,4.07,71.16
Lampung,Pesawaran,4.76,70.45,4.07,71.16
Lampung,Tulangbawang,3.46,71.47,4.07,71.16
Lampung,Way Kanan,3.07,73.32,4.07,71.16
Lampung,Lampung Utara,5.73,65.5,4.07,71.16
Lampung,Mesuji,2.46,70.15,4.07,71.16
Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,4.56,68.34,4.17,67.67
Kepulauan Bangka Belitung,Belitung Timur,2.41,70.48,4.17,67.67
Kepulauan Bangka Belitung,Bangka Selatan,4.84,66.93,4.17,67.67
Kepulauan Bangka Belitung,Bangka,5.03,67.46,4.17,67.67
Kepulauan Bangka Belitung,Belitung,4.14,68.09,4.17,67.67
Kepulauan Bangka Belitung,Kota Pangkal Pinang,5.76,66.55,4.17,67.67
Kepulauan Bangka Belitung,Bangka Tengah,3.88,70.09,4.17,67.67
Kepulauan Bangka Belitung,Bangka Barat,4.77,70.22,4.17,67.67
Kepulauan Riau,Kota Tanjung Pinang,4.76,66.53,6.89,66.84
Kepulauan Riau,Kepulauan Riau,6.8,68.68,6.89,66.84
Kepulauan Riau,Kota Batam,8.14,69.63,6.89,66.84
Kepulauan Riau,Kepulauan Anambas,2.55,70.4,6.89,66.84
Kepulauan Riau,Lingga,3.52,70.11,6.89,66.84
Kepulauan Riau,Bintan,5.43,67.55,6.89,66.84
Kepulauan Riau,Karimun,6.02,64.79,6.89,66.84
Kepulauan Riau,Natuna,4.05,72.43,6.89,66.84
DKI Jakarta,Kota Jakarta Barat,6.39,64.8,6.18,65.4
DKI Jakarta,Kota Jakarta Pusat,6.42,63.98,6.18,65.4
DKI Jakarta,Kota Jakarta Timur,7.24,65.11,6.18,65.4
DKI Jakarta,Kota Jakarta Selatan,5.37,66.05,6.18,65.4
DKI Jakarta,Kepulauan Seribu,8.11,73.7,6.18,65.4
DKI Jakarta,DKI Jakarta,6.53,65.21,6.18,65.4
DKI Jakarta,Kota Jakarta Utara,7.05,65.5,6.18,65.4
Jawa Barat,Kota Bogor,9.39,64.81,6.74,68.91
Jawa Barat,Bekasi,8.87,65.0,6.74,68.91
Jawa Barat,Bandung Barat,8.11,67.01,6.74,68.91
Jawa Barat,Pangandaran,1.52,80.15,6.74,68.91
Jawa Barat,Kota Sukabumi,8.53,62.57,6.74,68.91
Jawa Barat,Kota Depok,6.97,62.76,6.74,68.91
Jawa Barat,Kota Banjar,5.43,67.44,6.74,68.91
Jawa Barat,Kota Tasikmalaya,6.55,65.44,6.74,68.91
Jawa Barat,Kota Cimahi,10.52,68.43,6.74,68.91
Jawa Barat,Kota Bandung,8.83,66.97,6.74,68.91
Jawa Barat,Karawang,8.95,63.4,6.74,68.91
Jawa Barat,Jawa Barat,7.44,66.49,6.74,68.91
Jawa Barat,Purwakarta,7.72,66.37,6.74,68.91
Jawa Barat,Garut,7.33,70.1,6.74,68.91
Jawa Barat,Indramayu,6.46,63.88,6.74,68.91
