Provinsi,Kabupaten/Kota,Tingkat Pengangguran Terbuka,Tingkat Partisipasi Angkatan Kerja
Bengkulu,Kepahiang,2.41,75.73
Lampung,Lampung Barat,2.25,82.01
Lampung,Tanggamus,3.35,70.6
Lampung,Lampung,4.23,70.04
Lampung,Lampung Tengah,3.25,73.32
Lampung,Kota Metro,3.6,68.92
Lampung,Kota Bandar Lampung,7.43,66.05
Lampung,Pesisir Barat,3.47,71.91
Lampung,Lampung Timur,3.09,68.74
Lampung,Tulang Bawang Barat,3.89,70.77
Lampung,Lampung Selatan,4.95,66.43
Lampung,Pringsewu,4.66,73.29
Lampung,Pesawaran,4.76,70.45
Lampung,Tulangbawang,3.46,71.47
Lampung,Way Kanan,3.07,73.32
Lampung,Lampung Utara,5.73,65.5
Lampung,Mesuji,2.46,70.15
Kepulauan Bangka Belitung,Kepulauan Bangka Belitung,4.56,68.34
Kepulauan Bangka Belitung,Belitung Timur,2.41,70.48
Kepulauan Bangka Belitung,Bangka Selatan,4.84,66.93
Kepulauan Bangka Belitung,Bangka,5.03,67.46
Kepulauan Bangka Belitung,Belitung,4.14,68.09
Kepulauan Bangka Belitung,Kota Pangkal Pinang,5.76,66.55
Kepulauan Bangka Belitung,Bangka Tengah,3.88,70.09
Kepulauan Bangka Belitung,Bangka Barat,4.77,70.22
Kepulauan Riau,Kota Tanjung Pinang,4.76,66.53
Kepulauan Riau,Kepulauan Riau,6.8,68.68
Kepulauan Riau,Kota Batam,8.14,69.63
Kepulauan Riau,Kepulauan Anambas,2.55,70.4
Kepulauan Riau,Lingga,3.52,70.11
Kepulauan Riau,Bintan,5.43,67.55
Kepulauan Riau,Karimun,6.02,64.79
Kepulauan Riau,Natuna,4.05,72.43
DKI Jakarta,Kota Jakarta Barat,6.39,64.8
DKI Jakarta,Kota Jakarta Pusat,6.42,63.98
DKI Jakarta,Kota Jakarta Timur,7.24,65.11
DKI Jakarta,Kota Jakarta Selatan,5.37,66.05
DKI Jakarta,Kepulauan Seribu,8.11,73.7
DKI Jakarta,DKI Jakarta,6.53,65.21
DKI Jakarta,Kota Jakarta Utara,7.05,65.5
Jawa Barat,Kota Bogor,9.39,64.81
Jawa Barat,Bekasi,8.87,65.0
Jawa Barat,Bandung Barat,8.11,67.01
Jawa Barat,Pangandaran,1.52,80.15
Jawa Barat,Kota Sukabumi,8.53,62.57
Jawa Barat,Kota Depok,6.97,62.76
Jawa Barat,Kota Banjar,5.43,67.44
Jawa Barat,Kota Tasikmalaya,6.55,65.44
Jawa Barat,Kota Cimahi,10.52,68.43
Jawa Barat,Kota Bandung,8.83,66.97
Jawa Barat,Karawang,8.95,63.4
Jawa Barat,Jawa Barat,7.44,66.49
Jawa Barat,Purwakarta,7.72,66.37
Jawa Barat,Garut,7.33,70.1
Jawa Barat,Indramayu,6.46,63.88
Jawa Barat,Sumedang,6.94,67.76
Jawa Barat,Majalengka,4.12,68.5
Jawa Barat,Cirebon,7.65,66.16
Jawa Barat,Kuningan,9.49,61.95
Jawa Barat,Ciamis,3.52,66.26
Jawa Barat,Tasikmalaya,3.89,68.37
Jawa Barat,Kota Bekasi,7.9,64.65
Jawa Barat,Bandung,6.52,67.1
Jawa Barat,Cianjur,7.71,72.31
Jawa Barat,Sukabumi,7.32,67.75
Jawa Barat,Bogor,8.47,64.22
Jawa Barat,Subang,7.65,70.03
Jawa Barat,Kota Cirebon,7.66,68.71
Jawa Tengah,Kota Tegal,6.05,66.64
Jawa Tengah,Cilacap,8.74,66.6
Jawa Tengah,Demak,5.38,70.76
Jawa Tengah,Semarang,4.05,76.07
Jawa Tengah,Temanggung,2.32,75.8
Jawa Tengah,Kendal,5.76,76.93
Jawa Tengah,Batang,6.06,76.62
Jawa Tengah,Pekalongan,3.25,70.46
Jawa Tengah,Pemalang,6.55,69.58
Jawa Tengah,Tegal,8.6,67.61
Jawa Tengah,Brebes,8.98,66.1
Jawa Tengah,Kota Magelang,5.25,69.66
Jawa Tengah,Kota Surakarta,4.58,69.18
Jawa Tengah,Kota Salatiga,4.57,72.09
Jawa Tengah,Kota Semarang,5.99,69.42
Jawa Tengah,Kota Pekalongan,5.02,73.95
Jawa Tengah,Jawa Tengah,5.13,71.72
Jawa Tengah,Jepara,3.35,71.57
Jawa Tengah,Pati,4.29,73.1
Jawa Tengah,Kudus,3.25,72.19
Jawa Tengah,Boyolali,4.05,74.73
Jawa Tengah,Banyumas,6.35,64.6
Jawa Tengah,Blora,3.1,78.02
Jawa Tengah,Grobogan,4.02,75.81
Jawa Tengah,Sragen,3.87,68.6
Jawa Tengah,Karanganyar,4.35,70.69
Jawa Tengah,Wonogiri,1.92,82.45
Jawa Tengah,Sukoharjo,3.4,67.66
Jawa Tengah,Klaten,4.2,66.71
Jawa Tengah,Rembang,2.6,72.75
Jawa Tengah,Magelang,4.42,79.45
Jawa Tengah,Wonosobo,4.95,73.59
Jawa Tengah,Purbalingga,5.61,73.45
Jawa Tengah,Purworejo,4.02,74.76
Jawa Tengah,Kebumen,5.11,74.54
Jawa Tengah,Banjarnegara,6.26,71.64
DI Yogyakarta,Bantul,3.78,75.06
DI Yogyakarta,Gunung Kidul,2.09,76.66
DI Yogyakarta,Sleman,4.47,71.18
DI Yogyakarta,Kulon Progo,2.4,75.75
DI Yogyakarta,Kota Yogyakarta,6.07,73.2
DI Yogyakarta,DI Yogyakarta,3.69,74.08
Jawa Timur,Mojokerto,4.67,72.51
Jawa Timur,Sidoarjo,8.05,69.62
Jawa Timur,Pasuruan,5.48,71.21
Jawa Timur,Probolinggo,3.24,69.48
Jawa Timur,Situbondo,3.27,75.28
Jawa Timur,Bondowoso,4.15,74.39
Jawa Timur,Banyuwangi,4.75,79.04
Jawa Timur,Jombang,4.66,71.91
Jawa Timur,Jember,4.01,72.3
Jawa Timur,Malang,5.7,70.66
Jawa Timur,Kediri,5.79,68.74
Jawa Timur,Blitar,4.91,73.5
Jawa Timur,Tulungagung,5.65,74.7
Jawa Timur,Jawa Timur,4.88,72.56
Jawa Timur,Kota Surabaya,6.76,68.73
Jawa Timur,Ponorogo,4.66,75.88
Jawa Timur,Lumajang,3.67,68.49
Jawa Timur,Pacitan,1.83,81.64
Jawa Timur,Trenggalek,4.52,80.72
Jawa Timur,Magetan,4.16,78.48
Jawa Timur,Kota Madiun,5.85,69.29
Jawa Timur,Kota Mojokerto,4.73,72.5
Jawa Timur,Kota Pasuruan,5.64,75.65
Jawa Timur,Kota Probolinggo,4.53,70.61
Jawa Timur,Kota Malang,6.8,67.58
Jawa Timur,Kota Blitar,5.24,72.26
Jawa Timur,Kota Kediri,4.06,71.83
Jawa Timur,Madiun,5.14,72.49
Jawa Timur,Sumenep,1.71,78.86
Jawa Timur,Sampang,2.72,73.54
Jawa Timur,Bangkalan,6.18,71.49
Jawa Timur,Gresik,6.82,70.12
Jawa Timur,Lamongan,5.46,75.08
Jawa Timur,Tuban,4.4,74.73
Jawa Timur,Bojonegoro,4.63,74.29
Jawa Timur,Ngawi,2.41,69.43
Jawa Timur,Pamekasan,1.74,77.14
Jawa Timur,Nganjuk,4.68,66.89
Jawa Timur,Kota Batu,4.52,78.99
Banten,Serang,9.94,63.22
Banten,Tangerang,6.94,66.87
Banten,Lebak,7.57,67.9
Banten,Banten,7.52,64.44
Banten,Kota Tangerang Selatan,5.81,60.5
Banten,Pandeglang,9.05,60.33
Banten,Kota Cilegon,7.25,62.7
Banten,Kota Tangerang,6.76,63.39
Banten,Kota Serang,7.45,68.44
Bali,Jembrana,1.44,67.36
Bali,Buleleng,3.12,69.51
Bali,Tabanan,1.29,75.42
Bali,Badung,0.4,72.6
Bali,Gianyar,1.46,76.11
Bali,Klungkung,1.57,76.05
Bali,Karang Asem,0.62,80.61
Bali,Kota Denpasar,2.29,71.7
Bali,Bangli,0.75,83.11
Bali,Bali,1.57,73.77
Nusa Tenggara Barat,Kota Mataram,4.78,68.26
Nusa Tenggara Barat,Bima,2.15,75.31
Nusa Tenggara Barat,Dompu,2.36,72.48
Nusa Tenggara Barat,Sumbawa Barat,3.54,70.87
Nusa Tenggara Barat,Lombok Timur,2.47,71.07
Nusa Tenggara Barat,Sumbawa,2.79,71.17
Nusa Tenggara Barat,Lombok Barat,3.12,74.0
Nusa Tenggara Barat,Lombok Utara,1.4,76.19
Nusa Tenggara Barat,Nusa Tenggara Barat,2.8,73.31
Nusa Tenggara Barat,Kota Bima,3.57,78.09
Nusa Tenggara Barat,Lombok Tengah,2.78,76.87
Nusa Tenggara Timur,Nagekeo,3.54,76.86
Nusa Tenggara Timur,Nusa Tenggara Timur,3.14,75.72
Nusa Tenggara Timur,Kota Kupang,5.69,64.75
Nusa Tenggara Timur,Malaka,3.06,73.48
Nusa Tenggara Timur,Sabu Raijua,4.06,76.14
Nusa Tenggara Timur,Manggarai Timur,1.63,80.33
Nusa Tenggara Timur,Sumba Barat Daya,2.08,80.15
Nusa Tenggara Timur,Belu,5.45,69.47
Nusa Tenggara Timur,Manggarai Barat,4.42,70.71
Nusa Tenggara Timur,Sumba Barat,3.52,78.83
Nusa Tenggara Timur,Sumba Tengah,1.89,78.79
Nusa Tenggara Timur,Sumba Timur,2.21,81.36
Nusa Tenggara Timur,Kupang,3.22,76.93
Nusa Tenggara Timur,Timor Tengah Utara,1.96,75.74
Nusa Tenggara Timur,Alor,2.52,80.84
Nusa Tenggara Timur,Timor Tengah Selatan,2.64,83.13
Nusa Tenggara Timur,Flores Timur,3.79,72.5
Nusa Tenggara Timur,Sikka,2.62,74.35
Nusa Tenggara Timur,Ende,2.59,74.69
Nusa Tenggara Timur,Ngada,4.0,74.78
Nusa Tenggara Timur,Manggarai,2.44,79.14
Nusa Tenggara Timur,Rote Ndao,3.65,68.99
Nusa Tenggara Timur,Lembata,2.55,77.49
Kalimantan Barat,5.05,69.42
Kalimantan Barat,Sambas,5.04,72.72
Kalimantan Barat,Bengkayang,2.92,72.93
Kalimantan Barat,Landak,2.24,71.13
Kalimantan Barat,Mempawah,7.33,68.27
Kalimantan Barat,Sanggau,3.86,70.31
Kalimantan Barat,Ketapang,6.57,66.48
Kalimantan Barat,Sintang,2.92,74.12
Kalimantan Barat,Kapuas Hulu,2.19,72.28
Kalimantan Barat,Sekadau,2.29,73.77
Kalimantan Barat,Melawi,2.46,73.73
Kalimantan Barat,Kayong Utara,3.04,72.54
Kalimantan Barat,Kubu Raya,6.76,65.28
Kalimantan Barat,Kota Pontianak,8.92,63.47
Kalimantan Barat,Kota Singkawang,8.51,66.6
Kalimantan Tengah,Kota Palangka Raya,5.13,64.51
Kalimantan Tengah,Kalimantan Tengah,4.1,67.18
Kalimantan Tengah,Kotawaringin Barat,4.45,67.17
Kalimantan Tengah,Kotawaringin Timur,4.77,63.03
Kalimantan Tengah,Kapuas,3.66,66.58
Kalimantan Tengah,Murung Raya,2.75,66.78
Kalimantan Tengah,Seruyan,3.61,67.66
Kalimantan Tengah,Gunung Mas,3.24,71.06
Kalimantan Tengah,Pulang Pisau,2.07,74.92
Kalimantan Tengah,Katingan,4.96,64.42
Kalimantan Tengah,Lamandau,3.32,69.01
Kalimantan Tengah,Sukamara,5.23,72.39
Kalimantan Tengah,Barito Utara,4.85,70.27
Kalimantan Tengah,Barito Timur,3.37,74.79
Kalimantan Tengah,Barito Selatan,4.33,65.62
Kalimantan Selatan,Barito Kuala,3.42,71.89
Kalimantan Selatan,Banjar,2.73,70.21
Kalimantan Selatan,Kota Baru,6.08,64.0
Kalimantan Selatan,Tanah Laut,3.58,69.61
Kalimantan Selatan,Tapin,3.93,70.17
Kalimantan Selatan,Kalimantan Selatan,4.31,69.76
Kalimantan Selatan,Hulu Sungai Tengah,3.26,71.97
Kalimantan Selatan,Hulu Sungai Utara,3.85,75.34
Kalimantan Selatan,Tabalong,3.6,72.94
Kalimantan Selatan,Kota Banjar Baru,5.01,67.18
Kalimantan Selatan,Kota Banjarmasin,6.7,66.16
Kalimantan Selatan,Balangan,2.7,73.16
Kalimantan Selatan,Tanah Bumbu,6.56,68.57
Kalimantan Selatan,Hulu Sungai Selatan,2.12,74.91
Kalimantan Timur,Kalimantan Timur,5.31,65.57
Kalimantan Timur,Kota Bontang,7.74,68.35
Kalimantan Timur,Kota Balikpapan,6.09,63.48
Kalimantan Timur,Mahakam Ulu,2.09,75.0
Kalimantan Timur,Penajam Paser Utara,2.07,66.25
Kalimantan Timur,Berau,4.95,66.91
Kalimantan Timur,Kutai Timur,5.93,66.22
