Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Malinau,...,3.19,...,74.26
Bulungan,...,4.54,...,71.86
Tana Tidung,...,3.24,...,75.88
Nunukan,...,2.69,...,71.93
Kota Tarakan,...,5.25,...,66.14
Kalimantan Utara,4.1,4.01,67.03,70.35
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
