Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Jembrana,...,1.44,...,67.36
Tabanan,...,1.29,...,75.42
Badung,...,0.4,...,72.6
Gianyar,...,1.46,...,76.11
Klungkung,...,1.57,...,76.05
Bangli,...,0.75,...,83.11
Karang Asem,...,0.62,...,80.61
Buleleng,...,3.12,...,69.51
Kota Denpasar,...,2.29,...,71.7
Bali,1.22,1.57,76.47,73.77
