Kabupaten/Kota,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Kulon Progo,...,2.4,...,75.75
Bantul,...,3.78,...,75.06
Gunung Kidul,...,2.09,...,76.66
Sleman,...,4.47,...,71.18
Kota Yogyakarta,...,6.07,...,73.2
DI Yogyakarta,3.58,3.69,73.43,74.08
,,,,
Catatan,,,,
* Kesalahan Baku Relatif 25%/<i>Relative Standar Error</i>,,,,
